;precision;recall;f1-score;support
0;0.88;1.00;0.94;60
1;0.98;1.00;0.99;720
2;1.00;0.99;1.00;750
3;1.00;0.98;0.99;450
4;1.00;0.97;0.99;660
5;0.98;1.00;0.99;630
6;0.99;0.99;0.99;150
7;1.00;1.00;1.00;450
8;1.00;1.00;1.00;450
9;0.99;1.00;1.00;480
10;1.00;1.00;1.00;660
11;0.99;0.98;0.98;420
12;1.00;0.98;0.99;690
13;1.00;1.00;1.00;720
14;1.00;1.00;1.00;270
15;0.98;1.00;0.99;210
16;1.00;1.00;1.00;150
17;1.00;1.00;1.00;360
18;1.00;0.97;0.98;390
19;1.00;1.00;1.00;60
20;0.97;1.00;0.98;90
21;0.97;0.99;0.98;90
22;0.97;0.93;0.94;120
23;0.93;1.00;0.96;150
24;1.00;0.99;0.99;90
25;0.99;0.98;0.99;480
26;0.95;0.99;0.97;180
27;0.93;0.92;0.92;60
28;0.99;0.99;0.99;150
29;0.95;1.00;0.97;90
30;0.96;0.90;0.93;150
31;1.00;1.00;1.00;270
32;0.98;1.00;0.99;60
33;1.00;1.00;1.00;210
34;1.00;1.00;1.00;120
35;0.99;1.00;1.00;390
36;0.98;1.00;0.99;120
37;0.98;0.98;0.98;60
38;1.00;1.00;1.00;690
39;1.00;0.98;0.99;90
40;0.95;0.97;0.96;90
41;1.00;0.97;0.98;60
42;1.00;1.00;1.00;90
accuracy;;;0.99;0.9903
macro avg;0.98;0.99;0.98;12630
weighted avg;0.99;0.99;0.99;12630
